x,y,yaw,ref_v
0,0,0,5.0
0.1,0,0,5.0
0.2,0,0,5.0
0.3,0,0,5.0
0.4,0,0,5.0
0.5,0,0,5.0
0.6,0,0,5.0
0.7,0,0,5.0
0.8,0,0,5.0
0.9,0,0,5.0
1,0,0,5.0
1.1,0,0,5.0
1.2,0,0,5.0
1.3,0,0,5.0
1.4,0,0,5.0
1.5,0,0,5.0
1.6,0,0,5.0
1.7,0,0,5.0
1.8,0,0,5.0
1.9,0,0,5.0
2,0,0,5.0
2.1,0,0,5.0
2.2,0,0,5.0
2.3,0,0,5.0
2.4,0,0,5.0
2.5,0,0,5.0
2.6,0,0,5.0
2.7,0,0,5.0
2.8,0,0,5.0
2.9,0,0,5.0
3,0,0,5.0
3.1,0,0,5.0
3.2,0,0,5.0
3.3,0,0,5.0
3.4,0,0,5.0
3.5,0,0,5.0
3.6,0,0,5.0
3.7,0,0,5.0
3.8,0,0,5.0
3.9,0,0,5.0
4,0,0,5.0
4.1,0,0,5.0
4.2,0,0,5.0
4.3,0,0,5.0
4.4,0,0,5.0
4.5,0,0,5.0
4.6,0,0,5.0
4.7,0,0,5.0
4.8,0,0,5.0
4.9,0,0,5.0
5,0,0,5.0
5.1,0,0,5.0
5.2,0,0,5.0
5.3,0,0,5.0
5.4,0,0,5.0
5.5,0,0,5.0
5.6,0,0,5.0
5.7,0,0,5.0
5.8,0,0,5.0
5.9,0,0,5.0
6,0,0,5.0
6.1,0,0,5.0
6.2,0,0,5.0
6.3,0,0,5.0
6.4,0,0,5.0
6.5,0,0,5.0
6.6,0,0,5.0
6.7,0,0,5.0
6.8,0,0,5.0
6.9,0,0,5.0
7,0,0,5.0
7.1,0,0,5.0
7.2,0,0,5.0
7.3,0,0,5.0
7.4,0,0,5.0
7.5,0,0,5.0
7.6,0,0,5.0
7.7,0,0,5.0
7.8,0,0,5.0
7.9,0,0,5.0
8,0,0,5.0
8.1,0,0,5.0
8.2,0,0,5.0
8.3,0,0,5.0
8.4,0,0,5.0
8.5,0,0,5.0
8.6,0,0,5.0
8.7,0,0,5.0
8.8,0,0,5.0
8.9,0,0,5.0
9,0,0,5.0
9.1,0,0,5.0
9.2,0,0,5.0
9.3,0,0,5.0
9.4,0,0,5.0
9.5,0,0,5.0
9.6,0,0,5.0
9.7,0,0,5.0
9.8,0,0,5.0
9.9,0,0,5.0
10,0,0,5.0
10.1,0,0,5.0
10.2,0,0,5.0
10.3,0,0,5.0
10.4,0,0,5.0
10.5,0,0,5.0
10.6,0,0,5.0
10.7,0,0,5.0
10.8,0,0,5.0
10.9,0,0,5.0
11,0,0,5.0
11.1,0,0,5.0
11.2,0,0,5.0
11.3,0,0,5.0
11.4,0,0,5.0
11.5,0,0,5.0
11.6,0,0,5.0
11.7,0,0,5.0
11.8,0,0,5.0
11.9,0,0,5.0
12,0,0,5.0
12.1,0,0,5.0
12.2,0,0,5.0
12.3,0,0,5.0
12.4,0,0,5.0
12.5,0,0,5.0
12.6,0,0,5.0
12.7,0,0,5.0
12.8,0,0,5.0
12.9,0,0,5.0
13,0,0,5.0
13.1,0,0,5.0
13.2,0,0,5.0
13.3,0,0,5.0
13.4,0,0,5.0
13.5,0,0,5.0
13.6,0,0,5.0
13.7,0,0,5.0
13.8,0,0,5.0
13.9,0,0,5.0
14,0,0,5.0
14.1,0,0,5.0
14.2,0,0,5.0
14.3,0,0,5.0
14.4,0,0,5.0
14.5,0,0,5.0
14.6,0,0,5.0
14.7,0,0,5.0
14.8,0,0,5.0
14.9,0,0,5.0
15,0,0,5.0
15.15707676,0.00082246,0.005235991,5.0
15.3141363,0.003289748,0.015707961,5.0
15.47116139,0.007401595,0.026179941,5.0
15.62813481,0.013157549,0.036651914,5.0
15.78503934,0.020556979,0.047123891,5.0
15.94185779,0.029599074,0.057595866,5.0
16.09857296,0.040282842,0.068067838,5.0
16.25516765,0.052607111,0.078539814,5.0
16.4116247,0.066570531,0.089011794,5.0
16.56792695,0.082171569,0.099483764,5.0
16.72405726,0.099408516,0.109955745,5.0
16.8799985,0.11827948,0.120427721,5.0
17.03573359,0.138782393,0.13089969,5.0
17.19124543,0.160915006,0.141371673,5.0
17.34651698,0.184674891,0.151843639,5.0
17.5015312,0.210059444,0.162315627,5.0
17.6562711,0.23706588,0.172787597,5.0
17.81071972,0.265691239,0.183259567,5.0
17.96486011,0.295932381,0.193731546,5.0
18.11867536,0.327785989,0.204203529,5.0
18.27214862,0.361248571,0.214675497,5.0
18.42526305,0.396316457,0.225147475,5.0
18.57800186,0.432985801,0.235619449,5.0
18.73034831,0.471252583,0.246091417,5.0
18.88228568,0.511112606,0.256563401,5.0
19.03379731,0.552561498,0.267035378,5.0
19.18486659,0.595594715,0.277507355,5.0
19.33547695,0.640207537,0.287979332,5.0
19.48561188,0.686395072,0.2984513,5.0
19.63525492,0.734152256,0.308923266,5.0
19.78438964,0.78347385,0.319395259,5.0
19.9329997,0.834354446,0.329867228,5.0
20.0810688,0.886788466,0.340339214,5.0
20.22858071,0.940770158,0.350811172,5.0
20.37551924,0.996293603,0.361283163,5.0
20.52186829,1.053352712,0.371755123,5.0
20.6676118,1.111941228,0.38222711,5.0
20.8127338,1.172052726,0.392699066,5.0
20.95721836,1.233680615,0.403171067,5.0
21.10104965,1.296818135,0.41364302,5.0
21.24421188,1.361458364,0.424115029,5.0
21.38668937,1.427594213,0.434586984,5.0
21.52846649,1.495218429,0.445058952,5.0
21.66952769,1.564323596,0.455530924,5.0
21.8098575,1.634902137,0.466002907,5.0
21.94944053,1.706946312,0.476474891,5.0
22.08826147,1.780448219,0.486946877,5.0
22.22630511,1.855399799,0.49741883,5.0
22.3635563,1.931792833,0.507890822,5.0
22.5,2.009618943,0.518362774,5.0
22.63562124,2.088869595,0.528834753,5.0
22.77040514,2.169536098,0.539306755,5.0
22.90433693,2.251609605,0.549778717,5.0
23.03740192,2.335081117,0.560250696,5.0
23.16958553,2.419941481,0.570722636,5.0
23.30087324,2.506181389,0.58119465,5.0
23.43125067,2.593791386,0.591666616,5.0
23.56070352,2.682761863,0.602138582,5.0
23.68921759,2.773083064,0.612610567,5.0
23.81677878,2.864745084,0.623082576,5.0
23.94337312,2.957737872,0.63355452,5.0
24.06898672,3.05205123,0.644026491,5.0
24.1936058,3.147674814,0.654498473,5.0
24.3172167,3.24459814,0.664970444,5.0
24.43980587,3.342810578,0.675442387,5.0
24.56135985,3.442301358,0.685914397,5.0
24.68186532,3.54305957,0.696386369,5.0
24.80130906,3.645074165,0.706858365,5.0
24.91967798,3.748333956,0.717330326,5.0
25.0369591,3.852827618,0.727802278,5.0
25.15313955,3.958543693,0.738274271,5.0
25.26820659,4.065470589,0.748746268,5.0
25.38214761,4.173596579,0.759218221,5.0
25.49495011,4.282909806,0.769690199,5.0
25.60660172,4.393398282,0.780162173,5.0
25.71709019,4.505049892,0.790634181,5.0
25.82640342,4.617852392,0.801106114,5.0
25.93452941,4.731793411,0.811578101,5.0
26.04145631,4.846860455,0.822050058,5.0
26.14717238,4.963040905,0.832522079,5.0
26.25166604,5.08032202,0.842994037,5.0
26.35492583,5.19869094,0.853466006,5.0
26.45694043,5.318134684,0.863937954,5.0
26.55769864,5.438640154,0.874409967,5.0
26.65718942,5.560194134,0.88488193,5.0
26.75540186,5.682783296,0.895353898,5.0
26.85232519,5.806394195,0.905825859,5.0
26.94794877,5.931013277,0.916297882,5.0
27.04226213,6.056626876,0.926769822,5.0
27.13525492,6.183221216,0.937241796,5.0
27.22691694,6.310782415,0.947713784,5.0
27.31723814,6.439296485,0.958185765,5.0
27.40620861,6.568749332,0.96865777,5.0
27.49381861,6.699126761,0.979129692,5.0
27.58005852,6.830414475,0.98960168,5.0
27.66491888,6.962598075,1.000073677,5.0
27.74839039,7.095663068,1.010545652,5.0
27.8304639,7.229594859,1.021017597,5.0
27.91113041,7.364378764,1.03148955,5.0
27.99038106,7.5,1.041961572,5.0
28.06820717,7.636443696,1.05243354,5.0
28.1446002,7.773694888,1.062905534,5.0
28.21955178,7.911738527,1.073377493,5.0
28.29305369,8.050559473,1.083849451,5.0
28.36509786,8.190142504,1.094321467,5.0
28.4356764,8.330472312,1.10479342,5.0
28.50478157,8.471533509,1.115265377,5.0
28.57240579,8.613310627,1.125737347,5.0
28.63854164,8.755788116,1.136209334,5.0
28.70318186,8.898950354,1.146681371,5.0
28.76631939,9.04278164,1.157153238,5.0
28.82794727,9.187266203,1.16762532,5.0
28.88805877,9.332388198,1.178097236,5.0
28.94664729,9.47813171,1.188569198,5.0
29.0037064,9.624480757,1.199041191,5.0
29.05922984,9.77141929,1.2095132,5.0
29.11321153,9.918931196,1.219985158,5.0
29.16564555,10.0670003,1.230457121,5.0
29.21652615,10.21561036,1.240929074,5.0
29.26584774,10.36474508,1.251401092,5.0
29.31360493,10.51438812,1.261873025,5.0
29.35979246,10.66452305,1.272345057,5.0
29.40440529,10.81513341,1.282816946,5.0
29.4474385,10.96620269,1.293289015,5.0
29.48888739,11.11771432,1.303760961,5.0
29.52874742,11.26965169,1.314232883,5.0
29.5670142,11.42199814,1.324704922,5.0
29.60368354,11.57473695,1.335176902,5.0
29.63875143,11.72785138,1.345648827,5.0
29.67221401,11.88132464,1.356120843,5.0
29.70406762,12.03513989,1.366592785,5.0
29.73430876,12.18928028,1.377064794,5.0
29.76293412,12.3437289,1.387536754,5.0
29.78994056,12.4984688,1.398008705,5.0
29.81532511,12.65348302,1.408480719,5.0
29.83908499,12.80875457,1.418952719,5.0
29.86121761,12.96426641,1.429424609,5.0
29.88172052,13.1200015,1.439896655,5.0
29.90059148,13.27594274,1.450368631,5.0
29.91782843,13.43207305,1.460840563,5.0
29.93342947,13.5883753,1.471312551,5.0
29.94739289,13.74483235,1.481784533,5.0
29.95971716,13.90142704,1.492256507,5.0
29.97040093,14.05814221,1.502728476,5.0
29.97944302,14.21496066,1.513200493,5.0
29.98684245,14.37186519,1.523672436,5.0
29.99259841,14.52883861,1.534144374,5.0
29.99671025,14.6858637,1.544616431,5.0


