step,t,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz
0,0.162,0.106,0.016,-0.08,0.000,0.018,0.100,0.000,0.0003,0.3602,0.032,0.000,0.591,0.000
1,0.312,0.106,0.016,-0.08,0.000,0.017,0.100,0.000,-0.0062,0.7376,0.066,0.000,0.592,0.000
2,0.463,0.126,0.016,-0.08,0.292,0.031,0.100,0.000,0.0054,1.0608,0.096,0.000,0.593,0.029
3,0.663,0.233,0.017,-0.09,0.799,0.037,0.200,0.000,-0.0179,1.1345,0.103,0.000,0.598,-0.015
4,0.814,0.382,0.017,-0.06,1.189,0.024,0.400,0.000,-0.0574,1.1655,0.108,0.000,0.597,-0.014
5,1.014,0.669,0.009,-0.30,1.667,0.032,0.700,0.000,-0.0869,1.1691,0.109,0.000,0.597,0.009
6,1.164,0.945,-0.008,-0.83,1.995,0.045,0.900,0.000,-0.1118,1.0770,0.103,0.000,0.597,-0.005
7,1.363,1.379,-0.054,-2.15,2.339,0.058,1.400,0.000,-0.1289,0.9939,0.097,0.000,0.595,-0.024
8,1.513,1.745,-0.114,-3.68,2.551,0.122,1.700,0.000,-0.0969,0.8440,0.085,0.000,0.594,-0.019
9,1.713,2.275,-0.226,-6.22,2.836,0.228,2.300,0.000,-0.0597,0.6833,0.071,0.000,0.592,-0.001
10,1.863,2.704,-0.324,-7.86,3.002,0.324,2.700,0.000,0.0126,0.4047,0.047,0.000,0.591,-0.027
11,2.063,3.309,-0.448,-9.14,3.148,0.448,3.300,0.000,0.0481,0.2239,0.032,0.000,0.589,0.008
12,2.213,3.779,-0.520,-8.98,3.178,0.520,3.800,0.000,0.0818,0.0028,0.013,0.000,0.587,0.014
13,2.413,4.406,-0.587,-8.04,3.097,0.587,4.400,0.000,0.1168,-0.5531,0.000,0.037,0.586,0.014
14,2.563,4.863,-0.615,-6.81,2.952,0.616,4.900,0.000,0.1972,-0.9897,0.000,0.076,0.585,-0.029
15,2.763,5.421,-0.611,-4.56,2.576,0.611,5.400,0.000,0.2616,-1.0277,0.000,0.081,0.584,0.013
16,2.915,5.790,-0.575,-2.37,2.290,0.575,5.800,0.000,0.2734,-0.9607,0.000,0.076,0.583,-0.005
17,3.114,6.210,-0.487,1.04,1.946,0.487,6.200,0.000,0.2946,-0.9114,0.000,0.073,0.583,0.020
18,3.264,6.486,-0.398,3.86,1.785,0.398,6.500,0.000,0.2779,-0.9016,0.000,0.073,0.585,0.041
19,3.463,6.816,-0.252,7.88,1.649,0.252,6.800,0.000,0.2580,-0.7933,0.000,0.065,0.589,0.041
20,3.613,7.045,-0.136,10.68,1.612,0.143,7.000,0.000,0.2117,-0.4096,0.000,0.032,0.591,0.009
21,3.814,7.341,0.021,13.90,1.646,0.046,7.300,0.000,0.1746,-0.1644,0.000,0.010,0.591,0.017
22,3.962,7.569,0.141,15.97,1.713,0.145,7.600,0.000,0.1453,0.1442,0.017,0.000,0.590,0.013
23,4.163,7.889,0.308,18.32,1.825,0.309,7.900,0.000,0.1193,0.0700,0.010,0.000,0.589,0.002
24,4.313,8.139,0.440,19.87,1.889,0.442,8.100,0.000,0.0754,0.1131,0.014,0.000,0.588,0.001
25,4.515,8.482,0.617,21.51,1.930,0.618,8.500,0.000,0.0394,0.0470,0.009,0.000,0.589,-0.001
26,4.662,8.743,0.747,22.33,1.942,0.748,8.700,0.000,-0.0262,0.0859,0.012,0.000,0.589,0.001
27,4.863,9.094,0.906,22.76,1.913,0.906,9.100,0.000,-0.0763,0.0138,0.006,0.000,0.591,0.015
28,5.014,9.361,1.011,22.54,1.904,1.011,9.400,0.000,-0.1456,-0.0324,0.002,0.000,0.591,0.016
29,5.214,9.721,1.133,21.71,1.890,1.134,9.700,0.000,-0.1935,-0.1444,0.000,0.008,0.592,0.021
30,5.367,9.995,1.206,20.56,1.862,1.206,10.000,0.000,-0.2519,-0.0325,0.001,0.000,0.592,0.015
31,5.565,10.363,1.270,18.25,1.820,1.270,10.400,0.000,-0.2474,0.1070,0.014,0.000,0.591,-0.002
32,5.715,10.639,1.288,15.89,1.773,1.288,10.600,0.000,-0.2643,0.2088,0.023,0.000,0.592,0.023
33,5.914,11.004,1.271,12.06,1.734,1.271,11.000,0.000,-0.2315,0.1970,0.022,0.000,0.594,-0.006
34,6.063,11.274,1.231,8.82,1.755,1.231,11.300,0.000,-0.2213,0.2454,0.027,0.000,0.595,-0.027
35,6.263,11.643,1.172,5.11,1.811,1.173,11.600,0.000,-0.2370,0.3124,0.033,0.000,0.593,0.007
36,6.413,11.919,1.117,2.39,1.804,1.117,11.900,0.000,-0.2345,0.5650,0.056,0.000,0.594,0.006
37,6.613,12.286,1.012,-1.55,1.902,1.012,12.300,0.000,-0.2569,0.4060,0.042,0.000,0.595,0.015
38,6.762,12.572,0.911,-4.66,1.975,0.911,12.600,0.000,-0.2512,0.2743,0.031,0.000,0.597,0.042
39,6.963,12.950,0.737,-9.35,1.997,0.738,12.900,0.000,-0.2243,0.2722,0.031,0.000,0.597,0.009
40,7.114,13.226,0.586,-12.84,2.021,0.586,13.200,0.000,-0.1859,0.3077,0.035,0.000,0.595,0.002
41,7.314,13.597,0.374,-16.85,2.108,0.374,13.600,0.000,-0.1398,0.2811,0.033,0.000,0.592,-0.025
42,7.462,13.880,0.210,-19.37,2.153,0.211,13.900,0.000,-0.0883,0.2738,0.033,0.000,0.592,-0.037
43,7.663,14.270,-0.007,-21.80,2.250,0.031,14.300,0.000,-0.0456,0.2427,0.030,0.000,0.588,0.000
44,7.813,14.573,-0.166,-22.97,2.286,0.168,14.600,0.000,0.0287,0.2468,0.031,0.000,0.589,-0.023
45,8.013,14.989,-0.365,-23.63,2.337,0.365,15.000,0.000,0.0979,0.1696,0.024,0.000,0.588,0.002
46,8.162,15.314,-0.499,-23.40,2.335,0.502,15.314,0.003,0.1671,0.0503,0.014,0.000,0.588,-0.029
47,8.362,15.753,-0.652,-22.33,2.279,0.673,15.785,0.021,0.2083,-0.2899,0.000,0.016,0.587,0.003
