step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,obs_clear
0.000000,0.000000,101.098600,0.000000,0.000000,0.000000,2.500000,0.000000,0.000000,0.000000,-0.001824,-0.006627,0.000000,0.000000,0.000000,0.000000,7.338835
1.000000,0.050000,2.299000,0.125000,0.000000,-0.008711,2.499669,0.025000,0.100000,0.000000,0.000367,0.008035,0.000000,0.000000,0.000000,0.000000,7.215015
2.000000,0.100000,2.675000,0.249983,-0.000019,-0.006961,2.500070,0.049983,0.200000,0.000000,0.001754,-0.021591,0.000000,0.000000,0.000000,0.000000,7.091365
3.000000,0.150000,1.995900,0.374987,-0.000034,0.001416,2.498991,0.025013,0.400000,0.000000,-0.000187,-0.025656,0.000000,0.000000,0.000000,0.000000,6.967803
4.000000,0.200000,3.201800,0.499936,-0.000031,0.000525,2.497708,0.000071,0.500000,0.000000,0.000567,-0.016309,0.000000,0.000000,0.000000,0.000000,6.844233
5.000000,0.250000,2.138700,0.624822,-0.000030,0.003232,2.496893,0.024822,0.600000,0.000000,0.001677,0.002747,0.000000,0.000000,0.000000,0.000000,6.720806
6.000000,0.300000,2.412900,0.749667,-0.000023,0.011230,2.497030,0.049667,0.700000,0.000000,0.007301,-0.028010,0.000000,0.000000,0.000000,0.000000,6.597516
7.000000,0.350000,1.965100,0.874518,0.000002,0.046050,2.495629,0.025482,0.900000,0.000000,-0.000840,-0.017324,0.000000,0.000000,0.000000,0.000000,6.474537
8.000000,0.400000,3.119700,0.999299,0.000102,0.042046,2.494763,0.000708,1.000000,0.000000,-0.005373,-0.004285,0.000000,0.000000,0.000000,0.000000,6.351261
9.000000,0.450000,2.558500,1.124038,0.000193,0.016445,2.494549,0.024038,1.100000,0.000000,-0.005356,-0.037880,0.000000,0.000000,0.000000,0.000000,6.227863
10.000000,0.500000,2.261500,1.248765,0.000229,-0.009074,2.492655,0.048766,1.200000,0.000000,-0.007579,-0.033474,0.000000,0.000000,0.000000,0.000000,6.104544
11.000000,0.550000,2.165400,1.373398,0.000209,-0.045157,2.490981,0.026603,1.400000,0.000000,-0.004005,-0.029962,0.000000,0.000000,0.000000,0.000000,5.981286
12.000000,0.600000,2.130600,1.497947,0.000111,-0.064210,2.489483,0.002056,1.500000,0.000000,-0.005646,-0.050523,0.000000,0.000000,0.000000,0.000000,5.858355
13.000000,0.650000,2.368000,1.622421,-0.000028,-0.091053,2.486957,0.022421,1.600000,0.000000,-0.007052,-0.017006,0.000000,0.000000,0.000000,0.000000,5.735498
14.000000,0.700000,2.002000,1.746769,-0.000226,-0.124549,2.486107,0.046769,1.700000,0.000000,-0.002330,0.001621,0.000000,0.000000,0.000000,0.000000,5.612786
15.000000,0.750000,1.966400,1.871074,-0.000496,-0.135610,2.486188,0.028931,1.900000,0.000000,-0.009399,-0.002576,0.000000,0.000000,0.000000,0.000000,5.490413
