step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,obs_clear
0.000000,0.000000,13.831900,0.000000,0.000000,0.000000,2.500000,0.000000,0.000000,0.000000,-0.008724,-0.000090,0.000000,0.000000,0.000000,0.000000,7.338835
1.000000,0.050000,14.417800,0.125000,0.000000,-0.041657,2.499996,0.025000,0.100000,0.000000,-0.010263,-0.018990,0.000000,0.000000,0.000000,0.000000,7.214661
2.000000,0.100000,13.634200,0.250000,-0.000091,-0.090661,2.499046,0.050000,0.200000,0.000000,0.003671,0.098617,0.000000,0.000000,0.000000,0.000000,7.090468
3.000000,0.150000,14.799400,0.374952,-0.000289,-0.073141,2.503977,0.025050,0.400000,0.000000,0.005856,0.051343,0.000000,0.000000,0.000000,0.000000,6.967087
4.000000,0.200000,14.493600,0.500151,-0.000448,-0.045137,2.506544,0.000473,0.500000,0.000000,0.010202,0.055353,0.000000,0.000000,0.000000,0.000000,6.843605
5.000000,0.250000,14.460400,0.625478,-0.000547,0.003702,2.509312,0.025484,0.600000,0.000000,0.010782,-0.082885,0.000000,0.000000,0.000000,0.000000,6.720241
6.000000,0.300000,14.649500,0.750943,-0.000539,0.055377,2.505167,0.049060,0.800000,0.000000,0.001038,-0.072910,0.000000,0.000000,0.000000,0.000000,6.596791
7.000000,0.350000,14.706700,0.876202,-0.000418,0.060344,2.501522,0.023802,0.900000,0.000000,-0.002997,-0.068421,0.000000,0.000000,0.000000,0.000000,6.473086
8.000000,0.400000,14.348100,1.001278,-0.000286,0.046026,2.498101,0.001309,1.000000,0.000000,-0.011763,-0.034340,0.000000,0.000000,0.000000,0.000000,6.349410
9.000000,0.450000,13.499200,1.126183,-0.000186,-0.010099,2.496384,0.026183,1.100000,0.000000,-0.015611,-0.045748,0.000000,0.000000,0.000000,0.000000,6.225542
10.000000,0.500000,14.419600,1.251002,-0.000208,-0.084536,2.494096,0.048999,1.300000,0.000000,-0.007262,-0.099673,0.000000,0.000000,0.000000,0.000000,6.101666
11.000000,0.550000,13.683900,1.375707,-0.000392,-0.119129,2.489113,0.024297,1.400000,0.000000,-0.008891,-0.203021,0.000000,0.000000,0.000000,0.000000,5.978392
12.000000,0.600000,14.627100,1.500162,-0.000651,-0.161396,2.478962,0.000671,1.500000,0.000000,-0.015307,-0.080957,0.000000,0.000000,0.000000,0.000000,5.855373
13.000000,0.650000,14.724400,1.624110,-0.001000,-0.233873,2.474914,0.024130,1.600000,0.000000,-0.003014,0.016801,0.000000,0.000000,0.000000,0.000000,5.732663
14.000000,0.700000,14.560600,1.747854,-0.001505,-0.248119,2.475754,0.047878,1.700000,0.000000,0.013448,0.095802,0.000000,0.000000,0.000000,0.000000,5.610803
15.000000,0.750000,14.879000,1.871641,-0.002041,-0.184529,2.480544,0.028433,1.900000,0.000000,0.001672,-0.158593,0.000000,0.000000,0.000000,0.000000,5.489687
16.000000,0.800000,14.552300,1.995667,-0.002440,-0.176608,2.472614,0.004973,2.000000,0.000000,-0.000044,0.153745,0.000000,0.000000,0.000000,0.000000,5.367870
17.000000,0.850000,14.692100,2.119297,-0.002822,-0.176816,2.480302,0.019503,2.100000,0.000000,-0.011211,-0.241365,0.000000,0.000000,0.000000,0.000000,5.246444
18.000000,0.900000,14.715900,2.243312,-0.003204,-0.229926,2.468233,0.043430,2.200000,0.000000,-0.015823,-0.097298,0.000000,0.000000,0.000000,0.000000,5.124265
19.000000,0.950000,14.452400,2.366723,-0.003699,-0.304522,2.463369,0.033482,2.400000,0.000000,-0.015936,0.124416,0.000000,0.000000,0.000000,0.000000,5.002624
20.000000,1.000000,14.574500,2.489889,-0.004354,-0.379502,2.469589,0.011008,2.500000,0.000000,-0.007939,0.054420,0.000000,0.000000,0.000000,0.000000,4.881373
21.000000,1.050000,14.756300,2.613366,-0.005172,-0.416946,2.472310,0.014332,2.600000,0.000000,0.015198,-0.145839,0.000000,0.000000,0.000000,0.000000,4.760279
22.000000,1.100000,14.460800,2.736978,-0.006072,-0.345178,2.465018,0.037473,2.700000,0.000000,0.008620,0.033738,0.000000,0.000000,0.000000,0.000000,4.640042
23.000000,1.150000,14.701100,2.860227,-0.006814,-0.304594,2.466705,0.040352,2.900000,0.000000,0.012254,-0.083131,0.000000,0.000000,0.000000,0.000000,4.519980
24.000000,1.200000,14.657600,2.983561,-0.007470,-0.246860,2.462549,0.018057,3.000000,0.000000,0.007868,-0.054413,0.000000,0.000000,0.000000,0.000000,4.400051
25.000000,1.250000,14.727100,3.106687,-0.008000,-0.209857,2.459828,0.010427,3.100000,0.000000,-0.004689,0.169518,0.000000,0.000000,0.000000,0.000000,4.280249
26.000000,1.300000,13.830900,3.229677,-0.008451,-0.231887,2.468304,0.030857,3.200000,0.000000,-0.008229,-0.176494,0.000000,0.000000,0.000000,0.000000,4.160252
27.000000,1.350000,14.427800,3.353092,-0.008950,-0.270679,2.459479,0.047755,3.400000,0.000000,0.016300,0.047685,0.000000,0.000000,0.000000,0.000000,4.039885
28.000000,1.400000,14.318600,3.476064,-0.009531,-0.194108,2.461864,0.025764,3.500000,0.000000,0.007485,0.041288,0.000000,0.000000,0.000000,0.000000,3.920912
29.000000,1.450000,14.576100,3.599157,-0.009948,-0.158915,2.463928,0.009984,3.600000,0.000000,0.002689,0.129421,0.000000,0.000000,0.000000,0.000000,3.801640
30.000000,1.500000,14.467500,3.722353,-0.010290,-0.146260,2.470399,0.024607,3.700000,0.000000,0.000181,0.182012,0.000000,0.000000,0.000000,0.000000,3.682256
31.000000,1.550000,14.613300,3.845872,-0.010605,-0.145407,2.479500,0.047082,3.800000,0.000000,0.001070,0.154094,0.000000,0.000000,0.000000,0.000000,3.562654
32.000000,1.600000,14.475100,3.969847,-0.010920,-0.140340,2.487204,0.032070,4.000000,0.000000,0.009674,0.129291,0.000000,0.000000,0.000000,0.000000,3.442827
33.000000,1.650000,14.852500,4.094207,-0.011224,-0.094386,2.493669,0.012631,4.100000,0.000000,0.011010,0.084345,0.000000,0.000000,0.000000,0.000000,3.323062
34.000000,1.700000,14.696200,4.218890,-0.011430,-0.041946,2.497886,0.022079,4.200000,0.000000,-0.000842,-0.109417,0.000000,0.000000,0.000000,0.000000,3.203193
35.000000,1.750000,14.804600,4.343784,-0.011521,-0.045961,2.492415,0.045275,4.300000,0.000000,-0.005331,-0.105318,0.000000,0.000000,0.000000,0.000000,3.083015
36.000000,1.800000,14.485200,4.468405,-0.011621,-0.071338,2.487149,0.033665,4.500000,0.000000,0.011654,0.017808,0.000000,0.000000,0.000000,0.000000,2.963262
37.000000,1.850000,14.528000,4.592762,-0.011776,-0.015977,2.488040,0.013822,4.600000,0.000000,-0.004856,0.125488,0.000000,0.000000,0.000000,0.000000,2.844432
38.000000,1.900000,14.393200,4.717164,-0.011811,-0.039050,2.494314,0.020835,4.700000,0.000000,0.001918,-0.085625,0.000000,0.000000,0.000000,0.000000,2.725469
39.000000,1.950000,14.982700,4.841880,-0.011896,-0.029914,2.490033,0.043537,4.800000,0.000000,-0.017652,-0.030538,0.000000,0.000000,0.000000,0.000000,2.606687
40.000000,2.000000,14.939100,4.966382,-0.011961,-0.113868,2.488506,0.035683,5.000000,0.000000,0.002657,-0.037904,0.000000,0.000000,0.000000,0.000000,2.488154
41.000000,2.050000,14.945000,5.090807,-0.012208,-0.101241,2.486611,0.015282,5.100000,0.000000,0.012379,-0.076009,0.000000,0.000000,0.000000,0.000000,2.370486
42.000000,2.100000,14.674900,5.215137,-0.012428,-0.042449,2.482810,0.019585,5.200000,0.000000,-0.006513,-0.335307,0.000000,0.000000,0.000000,0.000000,2.253428
43.000000,2.150000,14.489300,5.339277,-0.012520,-0.073331,2.466045,0.041225,5.300000,0.000000,-0.044260,-0.381435,0.000000,0.000000,0.000000,0.000000,2.136755
44.000000,2.200000,14.628500,5.462580,-0.012677,-0.281922,2.446973,0.039510,5.500000,0.000000,-0.050736,-0.176592,0.000000,0.000000,0.000000,0.000000,2.021231
45.000000,2.250000,14.770000,5.584927,-0.013279,-0.519232,2.438144,0.020088,5.600000,0.000000,-0.044301,-0.475669,0.000000,0.000000,0.000000,0.000000,1.907603
46.000000,2.300000,14.500400,5.706829,-0.014384,-0.725655,2.414360,0.015923,5.700000,0.000000,-0.060646,-0.274822,0.000000,0.000000,0.000000,0.000000,1.795548
47.000000,2.350000,14.848900,5.827537,-0.015913,-1.005644,2.400619,0.031805,5.800000,0.000000,-0.074922,-0.242564,0.000000,0.000000,0.000000,0.000000,1.685920
48.000000,2.400000,13.519400,5.947550,-0.018020,-1.349793,2.388491,0.050850,5.900000,0.000000,-0.053031,-0.420887,0.000000,0.000000,0.000000,0.000000,1.578647
49.000000,2.450000,14.644500,6.066941,-0.020833,-1.591930,2.367447,0.039075,6.100000,0.000000,-0.077991,-0.292712,0.000000,0.000000,0.000000,0.000000,1.473427
50.000000,2.500000,14.481700,6.185268,-0.024121,-1.945281,2.352811,0.028264,6.200000,0.000000,-0.068110,-0.121601,0.000000,0.000000,0.000000,0.000000,1.371475
51.000000,2.550000,13.787300,6.302841,-0.028115,-2.251808,2.346731,0.028258,6.300000,0.000000,-0.063689,-0.113786,0.000000,0.000000,0.000000,0.000000,1.272193
52.000000,2.600000,14.651500,6.420087,-0.032725,-2.537643,2.341042,0.038398,6.400000,0.000000,-0.096389,-0.044795,0.000000,0.000000,0.000000,0.000000,1.175410
53.000000,2.650000,14.510100,6.537024,-0.037908,-2.969942,2.338802,0.052988,6.500000,0.000000,-0.061953,0.048228,0.000000,0.000000,0.000000,0.000000,1.082844
54.000000,2.700000,14.481500,6.653807,-0.043966,-3.247025,2.341213,0.063772,6.700000,0.000000,-0.058192,0.055710,0.000000,0.000000,0.000000,0.000000,0.992156
55.000000,2.750000,14.334500,6.770680,-0.050597,-3.507519,2.343999,0.058478,6.800000,0.000000,-0.070842,0.001464,0.000000,0.000000,0.000000,0.000000,0.904352
56.000000,2.800000,14.405300,6.887660,-0.057767,-3.825191,2.344072,0.059070,6.900000,0.000000,-0.048447,0.091092,0.000000,0.000000,0.000000,0.000000,0.820752
