step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,obs_clear
0.000000,0.000000,31.447400,0.000000,0.000000,0.000000,2.500000,0.000000,0.000000,0.000000,-0.012594,0.133332,0.000000,0.000000,0.000000,0.000000,7.338835
1.000000,0.050000,29.329800,0.125000,0.000000,-0.060134,2.506667,0.025000,0.100000,0.000000,-0.024916,-0.940338,0.000000,0.000000,0.000000,0.000000,7.214463
2.000000,0.100000,29.834500,0.250333,-0.000132,-0.179441,2.459650,0.049667,0.300000,0.000000,0.045006,0.367205,0.000000,0.000000,0.000000,0.000000,7.089206
3.000000,0.150000,29.523300,0.373315,-0.000517,0.032121,2.478010,0.026690,0.400000,0.000000,0.044790,-0.110845,0.000000,0.000000,0.000000,0.000000,6.969853
4.000000,0.200000,29.131900,0.497216,-0.000447,0.244240,2.472468,0.002820,0.500000,0.000000,-0.035896,0.519331,0.000000,0.000000,0.000000,0.000000,6.849574
5.000000,0.250000,30.092400,0.620838,0.000080,0.074663,2.498434,0.020838,0.600000,0.000000,-0.015394,0.000177,0.000000,0.000000,0.000000,0.000000,6.725474
6.000000,0.300000,29.273200,0.745759,0.000243,0.001202,2.498443,0.045760,0.700000,0.000000,-0.015067,-0.023757,0.000000,0.000000,0.000000,0.000000,6.601232
7.000000,0.350000,29.993100,0.870682,0.000245,-0.070696,2.497255,0.029319,0.900000,0.000000,0.009831,-0.125929,0.000000,0.000000,0.000000,0.000000,6.477095
8.000000,0.400000,30.161800,0.995544,0.000091,-0.023806,2.490959,0.004457,1.000000,0.000000,0.001901,0.093948,0.000000,0.000000,0.000000,0.000000,6.354303
9.000000,0.450000,29.154500,1.120092,0.000039,-0.014762,2.495656,0.020092,1.100000,0.000000,-0.012521,0.104174,0.000000,0.000000,0.000000,0.000000,6.231469
10.000000,0.500000,43.604600,1.244875,0.000007,-0.074443,2.500865,0.044875,1.200000,0.000000,-0.001470,-0.068699,0.000000,0.000000,0.000000,0.000000,6.107773
11.000000,0.550000,29.906700,1.369918,-0.000155,-0.081466,2.497430,0.030082,1.400000,0.000000,0.001403,-0.005691,0.000000,0.000000,0.000000,0.000000,5.984424
12.000000,0.600000,30.355300,1.494790,-0.000333,-0.074776,2.497146,0.005221,1.500000,0.000000,-0.015183,-0.033573,0.000000,0.000000,0.000000,0.000000,5.861440
13.000000,0.650000,29.630700,1.619647,-0.000496,-0.147190,2.495467,0.019653,1.600000,0.000000,0.012028,-0.070836,0.000000,0.000000,0.000000,0.000000,5.737782
14.000000,0.700000,44.654900,1.744420,-0.000816,-0.089861,2.491925,0.044427,1.700000,0.000000,0.004170,0.012071,0.000000,0.000000,0.000000,0.000000,5.615526
15.000000,0.750000,29.347200,1.869016,-0.001012,-0.070017,2.492529,0.031001,1.900000,0.000000,0.015753,-0.079823,0.000000,0.000000,0.000000,0.000000,5.493133
16.000000,0.800000,29.719400,1.993642,-0.001164,0.004979,2.488537,0.006464,2.000000,0.000000,-0.008779,0.011675,0.000000,0.000000,0.000000,0.000000,5.371274
17.000000,0.850000,30.231000,2.118069,-0.001153,-0.036746,2.489121,0.018106,2.100000,0.000000,-0.007576,0.078281,0.000000,0.000000,0.000000,0.000000,5.248587
18.000000,0.900000,30.257200,2.242525,-0.001233,-0.072763,2.493035,0.042543,2.200000,0.000000,0.021786,0.034548,0.000000,0.000000,0.000000,0.000000,5.126032
19.000000,0.950000,29.720600,2.367177,-0.001391,0.030984,2.494763,0.032853,2.400000,0.000000,0.003743,-0.066762,0.000000,0.000000,0.000000,0.000000,5.004609
20.000000,1.000000,29.413100,2.491915,-0.001324,0.048816,2.491425,0.008193,2.500000,0.000000,-0.004369,-0.053960,0.000000,0.000000,0.000000,0.000000,4.882381
21.000000,1.050000,29.835700,2.616486,-0.001218,0.028027,2.488727,0.016531,2.600000,0.000000,0.007577,0.042401,0.000000,0.000000,0.000000,0.000000,4.760071
22.000000,1.100000,29.490900,2.740922,-0.001157,0.064040,2.490847,0.040939,2.700000,0.000000,-0.014022,-0.008703,0.000000,0.000000,0.000000,0.000000,4.638477
23.000000,1.150000,29.844600,2.865465,-0.001018,-0.002668,2.490411,0.034550,2.900000,0.000000,-0.004344,0.036471,0.000000,0.000000,0.000000,0.000000,4.516024
24.000000,1.200000,29.095500,2.989985,-0.001023,-0.023332,2.492235,0.010067,3.000000,0.000000,0.015302,-0.017596,0.000000,0.000000,0.000000,0.000000,4.394122
25.000000,1.250000,29.653500,3.114597,-0.001074,0.049510,2.491355,0.014636,3.100000,0.000000,-0.011918,0.051597,0.000000,0.000000,0.000000,0.000000,4.272985
26.000000,1.300000,29.151100,3.239165,-0.000967,-0.007202,2.493935,0.039176,3.200000,0.000000,-0.014464,0.041958,0.000000,0.000000,0.000000,0.000000,4.150984
