step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,step_ms
0,0.334,283.8736,-0.003,-0.001,0.02,0.000,0.003,0.000,0.000,-0.0061,0.3440,0.031,0.000,0.198,0.000,0.000
1,0.586,4.3443,-0.004,-0.001,0.03,0.000,0.004,0.000,0.000,-0.0054,0.6999,0.063,0.000,0.198,-0.001,100.049
2,0.784,2.8513,-0.007,-0.001,0.03,0.000,0.007,0.000,0.000,0.0054,0.9678,0.087,0.000,0.199,0.009,50.140
3,1.085,3.2686,-0.008,-0.001,0.02,0.000,0.008,0.000,0.000,0.0018,1.2134,0.110,0.000,0.200,0.026,100.100
4,1.286,2.1875,-0.001,-0.001,0.02,0.209,0.001,0.000,0.000,0.0020,1.4265,0.131,0.000,0.201,0.040,50.347
5,1.584,6.1841,0.013,-0.001,0.02,0.347,0.013,0.000,0.000,0.0047,1.6094,0.149,0.000,0.203,0.060,100.075
6,1.786,2.3455,0.034,-0.001,0.03,0.500,0.034,0.000,0.000,0.0085,1.7040,0.159,0.000,0.207,0.068,50.573
7,2.086,2.4853,0.063,-0.000,0.03,0.662,0.037,0.100,0.000,-0.0081,1.8096,0.171,0.000,0.208,0.010,100.138
8,2.286,3.1129,0.100,-0.000,0.03,0.822,0.000,0.100,0.000,-0.0168,1.8672,0.178,0.000,0.209,0.024,49.508
9,2.536,6.4878,0.145,-0.000,0.03,0.967,0.045,0.100,0.000,-0.0168,1.8246,0.176,0.000,0.210,0.019,50.349
10,2.735,2.2639,0.197,-0.000,0.03,1.117,0.003,0.200,0.000,-0.0214,1.8138,0.178,0.000,0.211,0.001,49.824
11,2.985,3.1168,0.257,-0.001,0.01,1.274,0.043,0.300,0.000,-0.0131,1.7860,0.178,0.000,0.211,-0.018,49.963
12,3.236,2.0574,0.324,-0.002,-0.03,1.409,0.024,0.300,0.000,-0.0219,1.7017,0.172,0.000,0.211,-0.017,100.328
13,3.486,2.4429,0.398,-0.002,-0.06,1.553,0.003,0.400,0.000,-0.0248,1.6541,0.170,0.000,0.210,-0.014,50.167
14,3.685,3.2394,0.479,-0.003,-0.08,1.683,0.021,0.500,0.000,-0.0176,1.5752,0.165,0.000,0.210,-0.030,49.890
15,3.934,2.8625,0.567,-0.004,-0.12,1.811,0.033,0.600,0.000,-0.0298,1.4628,0.157,0.000,0.209,0.009,50.102
