step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz
0,0.307,280.9588,-0.002,0.000,0.00,0.000,0.002,0.000,0.000,-0.0034,0.3440,0.031,0.000,0.198,0.000
1,0.347,2.6429,-0.002,0.000,0.00,0.000,0.002,0.000,0.000,-0.0030,0.6999,0.063,0.000,0.198,0.002
2,0.386,2.5514,-0.005,-0.000,0.01,0.000,0.005,0.000,0.000,0.0030,0.9677,0.087,0.000,0.198,0.009
3,0.426,1.9255,-0.005,-0.000,0.01,0.000,0.005,0.000,0.000,0.0010,1.2133,0.110,0.000,0.199,0.015
4,0.466,2.0512,0.002,0.000,-0.00,0.209,0.002,0.000,0.000,0.0011,1.4264,0.131,0.000,0.200,0.042
5,0.506,2.1134,0.016,0.000,-0.01,0.341,0.016,0.000,0.000,0.0026,1.6100,0.149,0.000,0.203,0.057
6,0.548,1.8891,0.036,0.000,-0.00,0.484,0.036,0.000,0.000,0.0048,1.7066,0.159,0.000,0.206,0.061
7,0.587,2.0791,0.062,0.000,0.00,0.632,0.038,0.100,0.000,-0.0045,1.8159,0.171,0.000,0.208,0.009
8,0.626,2.0329,0.095,0.000,0.01,0.780,0.005,0.100,0.000,-0.0094,1.8781,0.179,0.000,0.208,0.023
9,0.667,1.9966,0.133,0.000,0.01,0.914,0.033,0.100,0.000,-0.0095,1.8411,0.178,0.000,0.209,0.005
10,0.706,2.1212,0.176,0.000,0.01,1.036,0.024,0.200,0.000,-0.0120,1.8394,0.180,0.000,0.210,0.032
11,0.746,1.9011,0.225,-0.000,0.00,1.173,0.025,0.200,0.000,-0.0075,1.8213,0.181,0.000,0.211,-0.004
12,0.786,1.9282,0.278,-0.000,-0.02,1.290,0.022,0.300,0.000,-0.0127,1.7496,0.177,0.000,0.210,0.001
13,0.827,2.0509,0.336,-0.001,-0.05,1.413,0.036,0.300,0.000,-0.0141,1.7164,0.176,0.000,0.211,-0.031
14,0.865,1.9767,0.398,-0.002,-0.08,1.537,0.003,0.400,0.000,-0.0101,1.6523,0.172,0.000,0.210,-0.014
15,0.906,1.9265,0.466,-0.003,-0.10,1.647,0.034,0.500,0.000,-0.0171,1.5563,0.166,0.000,0.210,-0.023
16,0.945,1.9529,0.537,-0.004,-0.13,1.758,0.037,0.500,0.000,-0.0177,1.4560,0.159,0.000,0.209,-0.002
17,0.986,1.9007,0.612,-0.005,-0.17,1.864,0.013,0.600,0.000,-0.0126,1.3254,0.149,0.000,0.209,-0.028
18,1.026,2.1347,0.692,-0.006,-0.21,1.960,0.010,0.700,0.000,-0.0114,1.1869,0.139,0.000,0.208,0.009
19,1.065,1.9527,0.774,-0.008,-0.26,2.074,0.027,0.800,0.000,-0.0047,1.1000,0.132,0.000,0.208,-0.007
20,1.106,1.9701,0.861,-0.009,-0.31,2.166,0.040,0.900,0.000,-0.0004,1.0030,0.125,0.000,0.207,-0.027
21,1.145,1.9294,0.951,-0.011,-0.35,2.257,0.050,1.000,0.000,0.0096,0.8754,0.115,0.000,0.207,0.003
22,1.185,2.1164,1.046,-0.012,-0.38,2.348,0.047,1.000,0.000,0.0115,0.7932,0.109,0.000,0.206,0.000
23,1.226,1.9940,1.143,-0.012,-0.38,2.451,0.044,1.100,0.000,0.0169,0.6952,0.101,0.000,0.205,-0.022
24,1.264,1.8869,1.243,-0.012,-0.36,2.523,0.045,1.200,0.000,0.0169,0.5998,0.094,0.000,0.205,-0.036
25,1.305,2.1157,1.347,-0.012,-0.33,2.598,0.048,1.300,0.000,0.0200,0.4849,0.084,0.000,0.205,-0.018
26,1.345,1.8779,1.453,-0.011,-0.27,2.664,0.049,1.500,0.000,0.0116,0.4159,0.079,0.000,0.204,0.001
27,1.385,1.9916,1.562,-0.009,-0.20,2.723,0.039,1.600,0.000,0.0109,0.2857,0.068,0.000,0.203,0.021
28,1.425,1.9215,1.673,-0.007,-0.11,2.790,0.028,1.700,0.000,0.0057,0.2114,0.061,0.000,0.203,0.004
