step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,step_ms
0,0.099,14.8760,-0.003,-0.001,0.02,0.000,0.003,0.000,0.000,-0.0096,0.3207,0.028,0.000,0.198,-0.000,0.000
1,0.335,35.7200,-0.004,-0.001,0.03,0.000,0.004,0.000,0.000,-0.0467,0.7564,0.068,0.000,0.198,-0.000,86.510
2,0.585,18.0737,-0.007,-0.001,0.03,0.000,0.007,0.000,0.000,-0.0091,1.0596,0.095,0.000,0.199,0.009,99.534
3,0.836,17.5324,-0.008,-0.001,0.03,0.000,0.008,0.000,0.000,0.0076,1.2113,0.110,0.000,0.200,0.026,50.924
4,1.034,15.1526,-0.001,-0.001,0.02,0.213,0.001,0.000,0.000,0.0214,1.3531,0.124,0.000,0.201,0.039,49.028
5,1.284,38.7083,0.013,-0.001,0.00,0.352,0.013,0.000,0.000,0.0215,1.2637,0.118,0.000,0.203,0.060,50.216
6,1.535,16.2989,0.035,-0.001,0.01,0.509,0.035,0.000,0.000,-0.0156,1.3166,0.124,0.000,0.206,0.066,100.251
7,1.835,28.3246,0.065,-0.000,0.03,0.677,0.035,0.100,0.000,-0.0181,1.2807,0.123,0.000,0.208,0.016,99.972
8,2.035,16.4044,0.103,-0.001,0.04,0.832,0.003,0.100,0.000,-0.0325,1.2242,0.119,0.000,0.209,0.022,49.713
9,2.335,22.9913,0.148,-0.001,0.04,0.973,0.048,0.100,0.000,-0.0205,1.2301,0.121,0.000,0.210,0.021,100.364
10,2.534,19.5253,0.200,-0.001,0.01,1.123,0.001,0.200,0.000,-0.0126,1.1698,0.118,0.000,0.211,-0.002,49.924
11,2.834,29.2774,0.261,-0.002,-0.03,1.280,0.039,0.300,0.000,-0.0245,1.0649,0.110,0.000,0.211,-0.019,100.610
12,3.085,15.5417,0.328,-0.002,-0.05,1.418,0.028,0.300,0.000,-0.0340,1.0472,0.110,0.000,0.211,-0.023,101.268
13,3.335,27.3215,0.402,-0.003,-0.06,1.554,0.004,0.400,0.000,-0.0023,1.0487,0.111,0.000,0.210,-0.019,50.272
14,3.584,14.8991,0.483,-0.005,-0.11,1.678,0.018,0.500,0.000,0.0161,0.9056,0.100,0.000,0.210,-0.035,99.480
15,3.885,17.4142,0.570,-0.005,-0.16,1.804,0.030,0.600,0.000,-0.0013,0.7271,0.085,0.000,0.209,-0.004,100.077
16,4.135,25.7961,0.664,-0.005,-0.17,1.934,0.036,0.700,0.000,-0.0003,0.9157,0.102,0.000,0.208,-0.003,100.493
17,4.435,25.8886,0.763,-0.005,-0.14,2.051,0.037,0.800,0.000,-0.0210,0.5251,0.069,0.000,0.207,-0.016,100.339
18,4.634,28.1463,0.868,-0.006,-0.12,2.140,0.032,0.900,0.000,-0.0345,0.5770,0.074,0.000,0.207,-0.028,50.233
19,4.934,15.1101,0.977,-0.006,-0.15,2.219,0.024,1.000,0.000,-0.0311,0.6071,0.078,0.000,0.206,-0.025,100.065
