step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz
0,0.032,15.8359,-0.002,-0.001,0.01,0.000,0.002,0.000,0.000,-0.0054,0.3207,0.028,0.000,0.197,-0.000
1,0.071,16.7328,-0.003,-0.001,0.01,0.000,0.003,0.000,0.000,-0.0262,0.7563,0.068,0.000,0.198,0.003
2,0.130,17.8258,-0.007,-0.001,0.02,0.000,0.007,0.000,0.000,-0.0051,1.0596,0.095,0.000,0.198,0.014
3,0.170,14.9630,0.009,-0.001,0.01,0.282,0.009,0.000,0.000,0.0048,1.1725,0.107,0.000,0.202,0.057
4,0.221,26.5441,0.036,-0.001,-0.01,0.471,0.036,0.000,0.000,0.0115,1.2980,0.119,0.000,0.206,0.061
5,0.269,18.0966,0.074,-0.001,-0.03,0.674,0.026,0.100,0.000,0.0117,1.1761,0.110,0.000,0.208,0.002
6,0.308,14.4599,0.149,-0.001,-0.01,0.942,0.049,0.100,0.000,-0.0075,1.2066,0.114,0.000,0.209,0.026
7,0.367,23.2421,0.208,0.000,0.03,1.112,0.008,0.200,0.000,-0.0082,1.1410,0.110,0.000,0.210,-0.016
8,0.428,18.6388,0.309,0.001,0.04,1.339,0.009,0.300,0.000,-0.0162,1.0612,0.104,0.000,0.210,0.019
9,0.468,14.5162,0.422,0.000,0.00,1.545,0.022,0.400,0.000,-0.0133,1.0287,0.103,0.000,0.209,0.010
10,0.527,29.6624,0.501,-0.001,-0.03,1.686,0.001,0.500,0.000,-0.0071,0.9361,0.096,0.000,0.209,-0.018
11,0.566,14.1242,0.628,-0.002,-0.09,1.857,0.028,0.600,0.000,-0.0126,0.7644,0.082,0.000,0.208,-0.024
12,0.605,16.6795,0.717,-0.003,-0.13,1.962,0.017,0.700,0.000,-0.0178,0.7588,0.082,0.000,0.208,-0.018
13,0.666,19.0126,0.808,-0.004,-0.16,2.051,0.009,0.800,0.000,-0.0009,0.7529,0.083,0.000,0.207,0.001
14,0.728,29.9723,0.949,-0.007,-0.22,2.171,0.049,0.900,0.000,0.0128,0.6133,0.071,0.000,0.207,0.006
15,0.766,15.6318,1.095,-0.009,-0.31,2.289,0.010,1.100,0.000,0.0020,0.3919,0.052,0.000,0.206,-0.024
16,0.826,23.8889,1.195,-0.010,-0.34,2.358,0.011,1.200,0.000,0.0000,0.5947,0.071,0.000,0.205,-0.005
17,0.886,21.0802,1.348,-0.010,-0.31,2.436,0.049,1.300,0.000,-0.0094,0.1423,0.031,0.000,0.204,-0.010
18,0.926,15.7484,1.504,-0.011,-0.29,2.502,0.012,1.500,0.000,-0.0157,0.2283,0.039,0.000,0.203,-0.039
19,0.966,15.1708,1.608,-0.012,-0.29,2.527,0.014,1.600,0.000,-0.0144,0.2760,0.044,0.000,0.203,-0.025
20,1.007,15.4242,1.712,-0.013,-0.32,2.528,0.017,1.700,0.000,-0.0068,0.2103,0.038,0.000,0.203,0.008
21,1.066,17.9703,1.817,-0.014,-0.37,2.537,0.022,1.800,0.000,0.0164,-0.0696,0.014,0.000,0.202,0.024
22,1.126,26.8283,1.974,-0.017,-0.45,2.562,0.031,2.000,0.000,0.0101,0.0920,0.028,0.000,0.202,-0.014
23,1.165,15.1106,2.130,-0.019,-0.48,2.561,0.036,2.100,0.000,0.0134,-0.0602,0.015,0.000,0.200,-0.063
24,1.206,14.3820,2.234,-0.019,-0.46,2.552,0.038,2.200,0.000,0.0105,-0.0810,0.013,0.000,0.200,-0.017
25,1.267,26.2543,2.337,-0.018,-0.41,2.527,0.041,2.300,0.000,-0.0026,0.1451,0.033,0.000,0.199,0.037
26,1.325,22.8897,2.489,-0.018,-0.33,2.511,0.021,2.500,0.000,-0.0060,-0.2029,0.002,0.000,0.199,-0.000
27,1.367,15.6158,2.641,-0.017,-0.28,2.500,0.044,2.600,0.000,0.0180,0.0012,0.020,0.000,0.198,-0.033
28,1.406,16.2629,2.741,-0.018,-0.28,2.481,0.045,2.700,0.000,0.0090,0.0050,0.020,0.000,0.199,0.008
29,1.466,17.8432,2.840,-0.018,-0.30,2.452,0.044,2.800,0.000,0.0043,0.1048,0.029,0.000,0.199,0.034
30,1.506,14.1907,2.989,-0.018,-0.29,2.446,0.021,3.000,0.000,0.0018,0.1611,0.034,0.000,0.199,-0.001
31,1.546,14.0566,3.087,-0.018,-0.25,2.440,0.022,3.100,0.000,0.0028,0.1476,0.033,0.000,0.198,0.040
32,1.605,24.6504,3.184,-0.018,-0.22,2.453,0.024,3.200,0.000,0.0111,0.1286,0.032,0.000,0.198,0.010
33,1.666,20.6690,3.333,-0.018,-0.20,2.457,0.037,3.300,0.000,0.0123,0.0928,0.029,0.000,0.199,0.042
34,1.706,13.9807,3.481,-0.017,-0.20,2.462,0.026,3.500,0.000,0.0005,-0.0974,0.012,0.000,0.199,0.037
35,1.766,19.7356,3.580,-0.016,-0.17,2.473,0.026,3.600,0.000,-0.0040,-0.0900,0.012,0.000,0.199,0.031
36,1.806,15.1683,3.728,-0.015,-0.10,2.447,0.032,3.700,0.000,0.0129,0.0392,0.024,0.000,0.200,0.043
37,1.866,20.7532,3.825,-0.016,-0.08,2.425,0.030,3.800,0.000,-0.0038,0.1518,0.034,0.000,0.200,0.022
38,1.926,25.2615,3.970,-0.015,-0.10,2.399,0.034,4.000,0.000,0.0031,-0.0476,0.016,0.000,0.200,0.031
39,1.965,15.1038,4.114,-0.015,-0.09,2.408,0.021,4.100,0.000,-0.0162,0.0236,0.022,0.000,0.200,0.034
40,2.006,14.2013,4.211,-0.015,-0.08,2.415,0.019,4.200,0.000,0.0062,0.0486,0.025,0.000,0.199,0.027
41,2.045,15.3525,4.307,-0.016,-0.08,2.406,0.017,4.300,0.000,0.0191,0.0584,0.026,0.000,0.199,-0.034
42,2.086,17.5570,4.403,-0.016,-0.09,2.397,0.016,4.400,0.000,0.0116,-0.1124,0.011,0.000,0.200,-0.026
43,2.126,13.8994,4.499,-0.015,-0.09,2.385,0.015,4.500,0.000,-0.0124,-0.0358,0.017,0.000,0.200,0.024
44,2.166,14.5747,4.595,-0.014,-0.06,2.386,0.015,4.600,0.000,-0.0053,0.2142,0.039,0.000,0.199,0.024
45,2.206,15.0972,4.690,-0.013,-0.02,2.375,0.017,4.700,0.000,0.0098,-0.0866,0.013,0.000,0.199,-0.026
46,2.245,14.0754,4.785,-0.013,0.01,2.366,0.020,4.800,0.000,-0.0031,0.1990,0.038,0.000,0.200,-0.019
47,2.307,20.4678,4.880,-0.013,0.00,2.350,0.024,4.900,0.000,0.0007,0.1536,0.034,0.000,0.200,0.026
48,2.346,14.6442,5.022,-0.013,-0.02,2.363,0.025,5.000,0.000,0.0151,-0.0164,0.020,0.000,0.200,0.002
49,2.406,22.9987,5.117,-0.013,-0.02,2.379,0.021,5.100,0.000,-0.0030,0.0438,0.025,0.000,0.200,0.036
50,2.446,17.3494,5.260,-0.013,-0.01,2.371,0.042,5.300,0.000,0.0015,0.0877,0.029,0.000,0.200,0.022
51,2.485,14.6993,5.355,-0.012,0.01,2.373,0.047,5.400,0.000,-0.0167,-0.0572,0.016,0.000,0.200,0.022
52,2.525,14.5283,5.449,-0.012,0.03,2.369,0.051,5.400,0.000,-0.0444,-0.1075,0.011,0.000,0.200,-0.028
53,2.565,14.1620,5.544,-0.012,0.03,2.360,0.045,5.500,0.000,-0.0433,-0.0632,0.015,0.000,0.200,-0.012
54,2.605,15.2010,5.638,-0.012,0.01,2.332,0.040,5.600,0.000,-0.0487,-0.1548,0.007,0.000,0.200,0.021
55,2.645,14.6469,5.731,-0.014,-0.03,2.316,0.034,5.700,0.000,-0.0834,-0.2025,0.003,0.000,0.200,0.023
56,2.686,15.3853,5.822,-0.015,-0.10,2.296,0.027,5.800,0.000,-0.0676,-0.2024,0.002,0.000,0.200,-0.034
57,2.726,15.2596,5.913,-0.018,-0.17,2.251,0.022,5.900,0.000,-0.0633,-0.2784,0.000,0.005,0.200,-0.007
58,2.766,17.3015,6.002,-0.021,-0.29,2.217,0.021,6.000,0.000,-0.0943,-0.1736,0.004,0.000,0.200,0.015
59,2.806,14.3969,6.090,-0.026,-0.43,2.185,0.027,6.100,0.000,-0.0903,-0.3707,0.000,0.013,0.200,-0.009
