step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,step_ms
0,3.187,3094.5078,-0.002,-0.001,0.02,0.000,0.002,0.000,0.000,0.0110,0.4314,0.038,0.000,0.197,-0.000,0.000
1,6.436,3034.2331,-0.003,-0.001,0.01,0.000,0.003,0.000,0.000,0.0050,0.7572,0.068,0.000,0.197,-0.002,100.057
2,10.086,3492.4530,-0.006,-0.001,0.01,0.000,0.006,0.000,0.000,0.0043,1.0691,0.096,0.000,0.198,0.010,50.056
3,13.686,3316.6352,-0.007,-0.001,0.01,0.000,0.007,0.000,0.000,-0.0036,1.3292,0.121,0.000,0.199,0.029,100.138
4,17.337,3473.3909,-0.000,-0.001,0.01,0.212,0.001,0.000,0.000,-0.0024,1.5620,0.143,0.000,0.200,0.041,50.123
5,21.687,4063.8389,0.014,-0.001,0.02,0.350,0.014,0.000,0.000,0.0023,1.6944,0.157,0.000,0.202,0.059,99.934
6,25.737,3835.8140,0.035,-0.001,0.02,0.501,0.035,0.000,0.000,-0.0013,1.7919,0.168,0.000,0.206,0.065,99.950
7,30.137,4166.3506,0.064,-0.001,0.01,0.663,0.036,0.100,0.000,-0.0004,1.8255,0.173,0.000,0.208,0.013,50.115
8,34.837,4463.7842,0.102,-0.000,-0.00,0.822,0.002,0.100,0.000,0.0043,1.8706,0.179,0.000,0.208,0.026,99.723
9,39.587,4537.2299,0.147,-0.000,0.00,0.969,0.047,0.100,0.000,0.0061,1.8553,0.180,0.000,0.209,0.025,49.655
10,44.187,4354.5918,0.199,-0.000,0.02,1.123,0.001,0.200,0.000,0.0130,1.8169,0.179,0.000,0.211,-0.000,100.169
11,49.087,4598.7453,0.259,0.000,0.02,1.282,0.041,0.300,0.000,0.0088,1.7526,0.176,0.000,0.210,-0.021,99.948
12,53.837,4524.2353,0.326,0.001,0.03,1.421,0.026,0.300,0.000,0.0129,1.6535,0.169,0.000,0.210,-0.019,99.988
13,58.486,4398.4653,0.401,0.001,0.04,1.564,0.002,0.400,0.000,0.0212,1.5462,0.161,0.000,0.209,-0.011,49.734
14,63.086,4382.5649,0.483,0.002,0.06,1.697,0.018,0.500,0.000,0.0297,1.4131,0.152,0.000,0.209,-0.033,99.873
15,67.837,4493.6599,0.571,0.003,0.09,1.827,0.029,0.600,0.000,0.0175,1.2859,0.142,0.000,0.209,-0.003,100.174
16,72.536,4461.1912,0.666,0.005,0.14,1.965,0.034,0.700,0.000,0.0252,1.2091,0.137,0.000,0.208,0.002,99.911
17,77.087,4298.9252,0.767,0.007,0.20,2.093,0.033,0.800,0.000,0.0202,1.0792,0.127,0.000,0.207,-0.012,99.979
18,81.787,4491.9718,0.874,0.009,0.25,2.208,0.027,0.900,0.000,0.0098,0.9278,0.115,0.000,0.207,-0.025,100.332
19,86.488,4412.2017,0.987,0.011,0.30,2.316,0.016,1.000,0.000,0.0039,0.8027,0.105,0.000,0.206,-0.033,99.856
20,91.137,4495.7925,1.106,0.012,0.34,2.417,0.014,1.100,0.000,0.0003,0.6312,0.091,0.000,0.206,-0.016,49.469
21,95.937,4591.8733,1.229,0.014,0.36,2.509,0.032,1.200,0.000,-0.0128,0.5656,0.086,0.000,0.206,-0.030,50.111
22,100.637,4535.7165,1.357,0.015,0.36,2.590,0.046,1.400,0.000,-0.0267,0.4403,0.075,0.000,0.205,-0.037,50.026
23,105.387,4451.8386,1.488,0.015,0.35,2.661,0.019,1.500,0.000,-0.0234,0.3568,0.068,0.000,0.205,-0.043,99.688
24,110.287,4689.0068,1.623,0.015,0.30,2.720,0.027,1.600,0.000,-0.0181,0.2433,0.059,0.000,0.204,-0.056,100.188
