step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,step_ms
0,0.135,51.0145,-0.002,0.000,0.00,0.000,0.002,0.000,0.000,-0.0074,-0.0197,0.000,0.000,0.198,0.000,0.000
1,0.386,62.8109,-0.002,0.000,0.00,0.000,0.002,0.000,0.000,0.0131,1.8481,0.164,0.000,0.198,0.001,50.907
2,0.636,51.8497,-0.003,-0.000,-0.00,0.000,0.003,0.000,0.000,-0.0019,2.5000,0.224,0.000,0.198,-0.004,50.325
3,0.886,47.6681,-0.006,0.000,0.00,0.000,0.006,0.000,0.000,0.1762,2.4899,0.226,0.000,0.198,0.011,50.237
4,1.086,47.9498,-0.007,0.000,-0.01,0.000,0.007,0.000,0.000,-0.0501,2.4792,0.229,0.000,0.199,0.020,50.487
5,1.386,49.3470,0.001,0.001,0.00,0.238,0.001,0.000,0.000,-0.2013,2.4962,0.233,0.000,0.200,0.046,50.063
6,1.636,48.6332,0.017,0.001,0.04,0.390,0.017,0.000,0.000,-0.1089,2.4722,0.234,0.000,0.203,0.063,50.153
7,1.885,46.2171,0.040,0.001,0.07,0.538,0.040,0.000,0.000,-0.2376,2.4665,0.237,0.000,0.206,0.054,50.411
8,2.086,47.7815,0.071,0.000,0.04,0.695,0.029,0.100,0.000,-0.1119,2.4214,0.236,0.000,0.208,0.019,50.912
9,2.436,59.4192,0.110,-0.001,-0.05,0.851,0.010,0.100,0.000,0.0678,2.4363,0.240,0.000,0.208,0.017,100.119
10,2.635,47.1447,0.156,-0.004,-0.18,0.989,0.044,0.200,0.000,-0.0520,2.3940,0.239,0.000,0.210,0.029,50.239
11,2.936,59.5747,0.209,-0.006,-0.28,1.156,0.011,0.200,0.000,0.0275,2.3375,0.237,0.000,0.210,-0.010,50.523
12,3.186,58.1646,0.271,-0.009,-0.34,1.316,0.030,0.300,0.000,0.0222,2.2608,0.234,0.000,0.210,-0.016,49.664
13,3.436,45.9591,0.340,-0.011,-0.37,1.452,0.041,0.300,0.000,0.0061,2.1359,0.225,0.000,0.209,-0.040,50.027
14,3.686,49.4144,0.417,-0.010,-0.35,1.594,0.020,0.400,0.000,0.0252,2.0650,0.222,0.000,0.208,-0.001,50.996
15,3.935,48.0940,0.500,-0.010,-0.32,1.743,0.010,0.500,0.000,0.0199,1.8827,0.208,0.000,0.208,-0.020,50.386
16,4.136,47.7846,0.590,-0.010,-0.29,1.869,0.014,0.600,0.000,0.0062,1.5682,0.183,0.000,0.208,-0.015,50.203
17,4.386,47.2014,0.687,-0.009,-0.25,1.985,0.016,0.700,0.000,0.0311,1.3750,0.167,0.000,0.207,0.019,50.320
18,4.636,48.7594,0.790,-0.008,-0.23,2.114,0.013,0.800,0.000,0.0125,1.0302,0.138,0.000,0.207,0.004,50.179
19,4.936,53.8243,0.898,-0.008,-0.20,2.237,0.008,0.900,0.000,0.0172,0.7516,0.115,0.000,0.207,-0.007,50.653
20,5.186,48.4890,1.013,-0.007,-0.16,2.353,0.015,1.000,0.000,-0.0083,0.3814,0.083,0.000,0.206,-0.015,50.363
21,5.486,64.5939,1.133,-0.006,-0.11,2.453,0.033,1.100,0.000,-0.0277,0.1503,0.063,0.000,0.206,-0.023,50.275
22,5.735,47.9909,1.257,-0.006,-0.09,2.526,0.043,1.300,0.000,-0.0078,-0.1778,0.034,0.000,0.205,-0.024,100.140
23,5.986,47.6633,1.384,-0.008,-0.13,2.567,0.017,1.400,0.000,0.0284,-0.1752,0.034,0.000,0.205,-0.039,50.416
24,6.186,43.6145,1.513,-0.008,-0.19,2.582,0.015,1.500,0.000,0.0160,-0.1665,0.035,0.000,0.204,-0.057,50.351
25,6.436,45.7310,1.642,-0.008,-0.19,2.597,0.043,1.600,0.000,0.0085,-0.2838,0.024,0.000,0.202,-0.062,50.058
26,6.636,46.2150,1.772,-0.007,-0.13,2.604,0.029,1.800,0.000,0.0054,-0.3824,0.015,0.000,0.201,-0.049,50.326
27,6.887,44.9642,1.902,-0.007,-0.07,2.592,0.007,1.900,0.000,0.0079,-0.2266,0.028,0.000,0.200,-0.038,50.315
28,7.086,45.9174,2.031,-0.006,-0.05,2.569,0.031,2.000,0.000,-0.0091,-0.1653,0.033,0.000,0.199,-0.034,50.095
29,7.386,50.3375,2.159,-0.006,-0.05,2.570,0.042,2.200,0.000,0.0117,-0.2130,0.029,0.000,0.199,-0.022,50.659
