v,steer_norm,yaw_rate
2.983367251089005467e+00,-1.000000000000000000e+00,-1.944331229736868671e+00
2.984259272103513272e+00,-7.500000000000000000e-01,-1.404948470044388387e+00
2.985026440245753587e+00,-5.000000000000000000e-01,-9.203540534678230634e-01
2.985455977140152761e+00,-2.500000000000000000e-01,-4.595540487618962611e-01
2.985144202228695587e+00,2.500000000000000000e-01,4.751486166053723315e-01
2.984423284373425744e+00,5.000000000000000000e-01,9.841933349487386185e-01
2.983616828830795598e+00,7.500000000000000000e-01,1.551155212965900754e+00
2.980532156840406621e+00,1.000000000000000000e+00,2.218212304154655978e+00
4.971784341385205863e+00,-1.000000000000000000e+00,-3.277326626206832572e+00
4.977525986144106795e+00,-7.500000000000000000e-01,-2.319440980979363687e+00
4.980212740393744397e+00,-5.000000000000000000e-01,-1.523444211969402939e+00
4.981877277810335514e+00,-2.500000000000000000e-01,-7.615231699975072432e-01
4.981800725944243169e+00,2.500000000000000000e-01,7.926206524741885584e-01
4.980003872270096110e+00,5.000000000000000000e-01,1.643430844595373141e+00
4.975384590053352873e+00,7.500000000000000000e-01,2.562597890170162263e+00
4.966319441568082027e+00,1.000000000000000000e+00,3.648747513314728685e+00
6.990933485887881105e+00,-1.000000000000000000e+00,-3.594059661837964548e+00
6.955138400853293490e+00,-7.500000000000000000e-01,-3.187357429878098003e+00
6.972589304738402660e+00,-5.000000000000000000e-01,-2.147247624101779273e+00
6.979390479011266635e+00,-2.500000000000000000e-01,-1.069055184333320252e+00
6.979467611952555828e+00,2.500000000000000000e-01,1.106943324849310128e+00
6.970620568138669704e+00,5.000000000000000000e-01,2.286406965361264199e+00
6.911012678978757151e+00,7.500000000000000000e-01,3.349246356187489226e+00
6.849939003270892890e+00,1.000000000000000000e+00,3.403415923689691702e+00
